Food code,Main food description
11514350,"Hot chocolate / Cocoa, made with no sugar added dry mix and fat free milk (skim)"
11514360,"Hot chocolate / Cocoa, made with no sugar added dry mix and non-dairy milk"
11519040,"Strawberry milk, NFS"
11519050,"Strawberry milk, whole"
11519105,"Strawberry milk, reduced fat (2%)"
11519200,"Strawberry milk, low fat (1%)"
11519205,"Strawberry milk, fat free (skim)"
11519215,"Strawberry milk, non-dairy"
11525000,"Milk, malted, natural flavor, made with milk"
11526000,"Milk, malted, chocolate, made with milk"
11531000,"Eggnog, regular"
11531500,"Eggnog, lowfat / light"
11541110,"Milk shake, home recipe, chocolate"
11541120,"Milk shake, home recipe, flavors other than chocolate"
11541130,"Milk shake, home recipe, chocolate, light"
11541135,"Milk shake, home recipe, flavors other than chocolate, light"
11541400,Milk shake with malt
11542100,"Milk shake, fast food, chocolate"
11542200,"Milk shake, fast food, flavors other than chocolate"
11543000,"Milk shake, bottled, chocolate"
11543010,"Milk shake, bottled, flavors other than chocolate"
11551050,Licuado / Batido (milk fruit drink)
11553100,"Fruit smoothie, NFS"
11553110,"Fruit smoothie, with whole fruit and dairy"
11553120,"Fruit smoothie, with whole fruit and dairy, added protein"
11553130,"Fruit smoothie juice drink, with dairy"
11560000,"Yoo-hoo, chocolate milk drink"
11710000,"Infant formula, NFS"
11710050,"Similac Expert Care Alimentum, infant formula, NS as to form"
11710051,"Similac Expert Care Alimentum, infant formula, ready-to-feed"
11710053,"Similac Expert Care Alimentum, infant formula, prepared from powder, made with water, NFS"
11710054,"Similac Expert Care Alimentum, infant formula, prepared from powder, made with tap water"
11710055,"Similac Expert Care Alimentum, infant formula, prepared from powder, made with plain bottled water"
11710056,"Similac Expert Care Alimentum, infant formula, prepared from powder, made with baby water"
11710350,"Similac Advance, infant formula, NS as to form"
11710351,"Similac Advance, infant formula, ready-to-feed"
11710352,"Similac Advance, infant formula, prepared from liquid concentrate, made with water, NFS"
11710353,"Similac Advance, infant formula, prepared from powder, made with water, NFS"
11710354,"Similac Advance, infant formula, prepared from liquid concentrate, made with tap water"
11710355,"Similac Advance, infant formula, prepared from liquid concentrate, made with plain bottled water"
11710356,"Similac Advance, infant formula, prepared from liquid concentrate, made with baby water"
11710357,"Similac Advance, infant formula, prepared from powder, made with tap water"
11710358,"Similac Advance, infant formula, prepared from powder, made with plain bottled water"
11710359,"Similac Advance, infant formula, prepared from powder, made with baby water"
11710360,"Similac Advance Organic, infant formula, NS as to form"
11710361,"Similac Advance Organic, infant formula, ready-to-feed"
11710363,"Similac Advance Organic, infant formula, prepared from powder, made with water, NFS"
11710367,"Similac Advance Organic, infant formula, prepared from powder, made with tap water"
11710368,"Similac Advance Organic, infant formula, prepared from powder, made with plain bottled water"
11710369,"Similac Advance Organic, infant formula, prepared from powder, made with baby water"
11710370,"Similac Sensitive, infant formula, NS as to form"
11710371,"Similac Sensitive, infant formula, ready-to-feed"
11710372,"Similac Sensitive, infant formula, prepared from liquid concentrate, made with water, NFS"
11710373,"Similac Sensitive, infant formula, prepared from powder, made with water, NFS"
11710374,"Similac Sensitive, infant formula, prepared from liquid concentrate, made with tap water"
11710375,"Similac Sensitive, infant formula, prepared from liquid concentrate, made with plain bottled water"
11710376,"Similac Sensitive, infant formula, prepared from liquid concentrate, made with baby water"
11710377,"Similac Sensitive, infant formula, prepared from powder, made with tap water"
11710378,"Similac Sensitive, infant formula, prepared from powder, made with plain bottled water"
11710379,"Similac Sensitive, infant formula, prepared from powder, made with baby water"
11710380,"Similac Sensitive for Spit-Up, infant formula, NS as to form"
11710381,"Similac Sensitive for Spit-Up, infant formula, ready-to-feed"
11710383,"Similac Sensitive for Spit-Up, infant formula, prepared from powder, made with water, NFS"
11710387,"Similac Sensitive for Spit-Up, infant formula, prepared from powder, made with tap water"
11710388,"Similac Sensitive for Spit-Up, infant formula, prepared from powder, made with plain bottled water"
11710389,"Similac Sensitive for Spit-Up, infant formula, prepared from powder, made with baby water"
11710470,"Similac Expert Care NeoSure, infant formula, NS as to form"
11710471,"Similac Expert Care NeoSure, infant formula, ready-to-feed"
11710473,"Similac Expert Care NeoSure, infant formula, prepared from powder, made with water, NFS"
11710477,"Similac Expert Care NeoSure, infant formula, prepared from powder, made with tap water"
11710478,"Similac Expert Care NeoSure, infant formula, prepared from powder, made with plain bottled water"
11710479,"Similac Expert Care NeoSure, infant formula, prepared from powder, made with baby water"
11710480,"Similac Go and Grow, infant formula, NS as to form"
11710481,"Similac Go and Grow, infant formula, prepared from powder, made with water, NFS"
11710482,"Similac Go and Grow, infant formula, prepared from powder, made with tap water"
11710483,"Similac Go and Grow, infant formula, prepared from powder, made with plain bottled water"
11710484,"Similac Go and Grow, infant formula, prepared from powder, made with baby water"
11710620,"Enfamil PREMIUM Newborn, infant formula, NS as to form"
11710621,"Enfamil PREMIUM Newborn, infant formula, ready-to-feed"
11710626,"Enfamil PREMIUM Newborn, infant formula, prepared from powder, made with water, NFS"
11710627,"Enfamil PREMIUM Newborn, infant formula, prepared from powder, made with tap water"
11710628,"Enfamil PREMIUM Newborn, infant formula, prepared from powder, made with plain bottled water"
11710629,"Enfamil PREMIUM Newborn, infant formula, prepared from powder, made with baby water"
11710630,"Enfamil PREMIUM Infant, infant formula, NS as to form"
11710631,"Enfamil PREMIUM Infant, infant formula, ready-to-feed"
11710632,"Enfamil PREMIUM Infant, infant formula, prepared from liquid concentrate, made with water, NFS"
11710633,"Enfamil PREMIUM Infant, infant formula, prepared from liquid concentrate, made with tap water"
11710634,"Enfamil PREMIUM Infant, infant formula, prepared from liquid concentrate, made with plain bottled water"
11710635,"Enfamil PREMIUM Infant, infant formula, prepared from liquid concentrate, made with baby water"
11710636,"Enfamil PREMIUM Infant, infant formula, prepared from powder, made with water, NFS"
11710637,"Enfamil PREMIUM Infant, infant formula, prepared from powder, made with tap water"
11710638,"Enfamil PREMIUM Infant, infant formula, prepared from powder, made with plain bottled water"
11710639,"Enfamil PREMIUM Infant, infant formula, prepared from powder, made with baby water"
11710640,"Enfamil PREMIUM LIPIL, infant formula, NS as to form"
11710642,"Enfamil PREMIUM LIPIL, infant formula, prepared from liquid concentrate, made with water, NFS"
11710643,"Enfamil PREMIUM LIPIL, infant formula, prepared from powder, made with water, NFS"
11710644,"Enfamil PREMIUM LIPIL, infant formula, prepared from liquid concentrate, made with tap water"
11710645,"Enfamil PREMIUM LIPIL, infant formula, prepared from liquid concentrate, made with plain bottled water"
11710646,"Enfamil PREMIUM LIPIL, infant formula, prepared from liquid concentrate, made with baby water"
11710647,"Enfamil PREMIUM LIPIL, infant formula, prepared from powder, made with tap water"
11710648,"Enfamil PREMIUM LIPIL, infant formula, prepared from powder, made with plain bottled water"
11710649,"Enfamil PREMIUM LIPIL, infant formula, prepared from powder, made with baby water"
11710650,"Enfamil LIPIL, infant formula, NS as to form"
11710651,"Enfamil LIPIL, infant formula, ready-to-feed"
11710652,"Enfamil LIPIL, infant formula, prepared from liquid concentrate, made with water, NFS"
11710653,"Enfamil LIPIL, infant formula, prepared from powder, made with water, NFS"
11710654,"Enfamil LIPIL, infant formula, prepared from liquid concentrate, made with tap water"
11710655,"Enfamil LIPIL, infant formula, prepared from liquid concentrate, made with plain bottled water"
11710656,"Enfamil LIPIL, infant formula, prepared from liquid concentrate, made with baby water"
11710657,"Enfamil LIPIL, infant formula, prepared from powder, made with tap water"
11710658,"Enfamil LIPIL, infant formula, prepared from powder, made with plain bottled water"
11710659,"Enfamil LIPIL, infant formula, prepared from powder, made with baby water"
11710660,"Enfamil A.R. Lipil, infant formula, NS as to form"
11710661,"Enfamil A.R. Lipil, infant formula, ready-to-feed"
11710663,"Enfamil A.R. LIPIL, infant formula, prepared from powder, made with water, NFS"
11710664,"Enfamil A.R. LIPIL, infant formula, prepared from powder, made with tap water"
11710665,"Enfamil EnfaCare LIPIL, infant formula, NS as to form"
11710666,"Enfamil EnfaCare LIPIL, infant formula, ready-to-feed"
11710667,"Enfamil EnfaCare LIPIL, infant formula, prepared from powder, made with water, NFS"
11710668,"Enfamil A.R. LIPIL, infant formula, prepared from powder, made with plain bottled water"
11710669,"Enfamil A.R. LIPIL, infant formula, prepared from powder, made with baby water"
11710670,"Enfamil Gentlease LIPIL, infant formula, NS as to form"
11710671,"Enfamil Gentlease LIPIL, infant formula, ready-to-feed"
11710673,"Enfamil Gentlease LIPIL, infant formula, prepared from powder, made with water, NFS"
11710674,"Enfamil EnfaCare LIPIL, infant formula, prepared from powder, made with tap water"
11710675,"Enfamil EnfaCare LIPIL, infant formula, prepared from powder, made with plain bottled water"
11710676,"Enfamil EnfaCare LIPIL, infant formula, prepared from powder, made with baby water"
11710677,"Enfamil Gentlease LIPIL, infant formula, prepared from powder, made with tap water"
11710678,"Enfamil Gentlease LIPIL, infant formula, prepared from powder, made with plain bottled water"
11710679,"Enfamil Gentlease LIPIL, infant formula, prepared from powder, made with baby water"
11710680,"Enfamil Enfagrow PREMIUM Next Step LIPIL, infant formula, NS as to form"
11710681,"Enfamil Enfagrow PREMIUM Next Step LIPIL, infant formula, ready-to-feed"
11710683,"Enfamil Enfagrow PREMIUM Next Step LIPIL, infant formula, prepared from powder, made with water, NFS"
11710687,"Enfamil Enfagrow PREMIUM Next Step LIPIL, infant formula, prepared from powder, made with tap water"
11710688,"Enfamil Enfagrow PREMIUM Next Step LIPIL, infant formula, prepared from powder, made with plain bottled water"
11710689,"Enfamil Enfagrow PREMIUM Next Step LIPIL, infant formula, prepared from powder, made with baby water"
11710690,"Enfamil Gentlease Next Step LIPIL, infant formula, NS as to form"
11710693,"Enfamil Gentlease Next Step LIPIL, infant formula, prepared from powder, made with water, NFS"
11710697,"Enfamil Gentlease Next Step LIPIL, infant formula, prepared from powder, made with tap water"
11710698,"Enfamil Gentlease Next Step LIPIL, infant formula, prepared from powder, made with plain bottled water"
11710699,"Enfamil Gentlease Next Step LIPIL, infant formula, prepared from powder, made with baby water"
11710800,"Pediasure, infant formula, NS as to form"
11710801,"Pediasure, infant formula, ready-to-feed"
11710805,"Pediasure Fiber, infant formula, NS as to form"
11710806,"Pediasure Fiber, infant formula, ready-to-feed"
11710910,"Gerber Good Start  Gentle Plus, infant formula, NS as to form"
11710911,"Gerber Good Start Gentle Plus, infant formula, ready-to-feed"
11710912,"Gerber Good Start Gentle Plus, infant formula, prepared from liquid concentrate, made with water, NFS"
11710913,"Gerber Good Start Gentle Plus, infant formula, prepared from powder, made with water, NFS"
11710914,"Gerber Good Start Gentle Plus, infant formula, prepared from liquid concentrate, made with tap water"
11710915,"Gerber Good Start Gentle Plus, infant formula, prepared from liquid concentrate, made with plain bottled water"
11710916,"Gerber Good Start Gentle Plus, infant formula, prepared from liquid concentrate, made with baby water"
11710917,"Gerber Good Start Gentle Plus, infant formula, prepared from powder, made with tap water"
11710918,"Gerber Good Start Gentle Plus, infant formula, prepared from powder, made with plain bottled water"
11710919,"Gerber Good Start Gentle Plus, infant formula, prepared from powder, made with baby water"
11710920,"Gerber Good Start Protect Plus, infant formula, NS as to form"
11710923,"Gerber Good Start Protect Plus, infant formula, prepared from powder, made with water, NFS"
11710927,"Gerber Good Start Protect Plus, infant formula, prepared from powder, made with tap water"
11710928,"Gerber Good Start Protect Plus, infant formula, prepared from powder, made with plain bottled water"
11710929,"Gerber Good Start Protect Plus, infant formula, prepared from powder, made with baby water"
11710930,"Gerber Good Start 2 Gentle Plus, infant formula, NS as to form"
11710933,"Gerber Good Start 2 Gentle Plus, infant formula, prepared from powder, made with water, NFS"
11710937,"Gerber Good Start 2 Gentle Plus, infant formula, prepared from powder, made with tap water"
11710938,"Gerber Good Start 2 Gentle Plus, infant formula, prepared from powder, made with plain bottled water"
11710939,"Gerber Good Start 2 Gentle Plus, infant formula, prepared from powder, made with baby water"
11710940,"Gerber Good Start 2 Protect Plus, infant formula, NS as to form"
11710943,"Gerber Good Start 2 Protect Plus, infant formula, prepared from powder, made with water, NFS"
11710947,"Gerber Good Start 2 Protect Plus, infant formula, prepared from powder, made with tap water"
11710948,"Gerber Good Start 2 Protect Plus, infant formula, prepared from powder, made with plain bottled water"
11710949,"Gerber Good Start 2 Protect Plus, infant formula, prepared from powder, made with baby water"
11710960,"America's Store Brand, infant formula, NS as to form"
11710961,"America's Store Brand, infant formula, prepared from liquid concentrate, made with water, NFS"
11710962,"America's Store Brand, infant formula, prepared from powder, made with water, NFS"
11710963,"America's Store Brand, infant formula, ready-to-feed"
11710964,"America's Store Brand, infant formula, prepared from liquid concentrate, made with tap water"
11710965,"America's Store Brand, infant formula, prepared from liquid concentrate, made with plain bottled water"
11710966,"America's Store Brand, infant formula, prepared from liquid concentrate, made with baby water"
11710967,"America's Store Brand, infant formula, prepared from powder, made with tap water"
11710968,"America's Store Brand, infant formula, prepared from powder, made with plain bottled water"
11710969,"America's Store Brand, infant formula, prepared from powder, made with baby water"
11720310,"Enfamil ProSobee LIPIL, infant formula, NS as to form"
11720311,"Enfamil ProSobee Lipil, infant formula, ready-to-feed"
11720312,"Enfamil ProSobee LIPIL, infant formula, prepared from liquid concentrate, made with water, NFS"
11720313,"Enfamil ProSobee LIPIL, infant formula, prepared from powder, made with water, NFS"
11720314,"Enfamil ProSobee LIPIL, infant formula, prepared from liquid concentrate, made with tap water"
11720315,"Enfamil ProSobee LIPIL, infant formula, prepared from liquid concentrate, made with plain bottled water"
11720316,"Enfamil ProSobee LIPIL, infant formula, prepared from liquid concentrate, made with baby water"
11720317,"Enfamil ProSobee LIPIL, infant formula, prepared from powder, made with tap water"
11720318,"Enfamil ProSobee LIPIL, infant formula, prepared from powder, made with plain bottled water"
11720319,"Enfamil ProSobee LIPIL, infant formula, prepared from powder, made with baby water"
11720320,"Enfamil Enfagrow Soy Next Step LIPIL, infant formula, NS as to form"
11720323,"Enfamil Enfagrow Soy Next Step LIPIL, infant formula, prepared from powder, made with water, NFS"
11720327,"Enfamil Enfagrow Soy Next Step LIPIL, infant formula, prepared from powder, made with tap water"
11720328,"Enfamil Enfagrow Soy Next Step LIPIL, infant formula, prepared from powder, made with plain bottled water"
11720329,"Enfamil Enfagrow Soy Next Step LIPIL, infant formula, prepared from powder, made with baby water"
11720410,"Similac Sensitive Isomil Soy, infant formula, NS as to form"
11720411,"Similac Sensitive Isomil Soy, infant formula, ready-to-feed"
11720412,"Similac Sensitive Isomil Soy, infant formula, prepared from liquid concentrate, made with water, NFS"
11720413,"Similac Sensitive Isomil Soy, infant formula, prepared from powder, made with water, NFS"
11720414,"Similac Sensitive Isomil Soy, infant formula, prepared from liquid concentrate, made with tap water"
11720415,"Similac Sensitive Isomil Soy, infant formula, prepared from liquid concentrate, made with plain bottled water"
11720416,"Similac Sensitive Isomil Soy, infant formula, prepared from liquid concentrate, made with baby water"
11720417,"Similac Sensitive Isomil Soy, infant formula, prepared from powder, made with tap water"
11720418,"Similac Sensitive Isomil Soy, infant formula, prepared from powder, made with plain bottled water"
11720419,"Similac Sensitive Isomil Soy, infant formula, prepared from powder, made with baby water"
11720430,"Similac Expert Care for Diarrhea, infant formula, NS as to form"
11720431,"Similac Expert Care for Diarrhea, infant formula, ready-to-feed"
11720440,"Similac Go and Grow Soy, infant formula, NS as to form"
11720443,"Similac Go and Grow Soy, infant formula, prepared from powder, made with water, NFS"
11720447,"Similac Go and Grow Soy, infant formula, prepared from powder, made with tap water"
11720448,"Similac Go and Grow Soy, infant formula, prepared from powder, made with plain bottled water"
11720449,"Similac Go and Grow Soy, infant formula, prepared from powder, made with baby water"
11720610,"Gerber Good Start Soy Plus, infant formula, NS as to form"
11720611,"Gerber Good Start Soy Plus, infant formula, ready-to-feed"
11720612,"Gerber Good Start Soy Plus, infant formula, prepared from liquid concentrate, made with water, NFS"
11720613,"Gerber Good Start Soy Plus, infant formula, prepared from powder, made with water, NFS"
11720614,"Gerber Good Start Soy Plus, infant formula, prepared from liquid concentrate, made with tap water"
11720615,"Gerber Good Start Soy Plus, infant formula, prepared from liquid concentrate, made with plain bottled water"
11720616,"Gerber Good Start Soy Plus, infant formula, prepared from liquid concentrate, made with baby water"
11720617,"Gerber Good Start Soy Plus, infant formula, prepared from powder, made with tap water"
11720618,"Gerber Good Start Soy Plus, infant formula, prepared from powder, made with plain bottled water"
11720619,"Gerber Good Start Soy Plus, infant formula, prepared from powder, made with baby water"
11720620,"Gerber Good Start 2 Soy Plus, infant formula, NS as to form"
11720623,"Gerber Good Start 2 Soy Plus, infant formula, prepared from powder, made with water, NFS"
11720627,"Gerber Good Start 2 Soy Plus, infant formula, prepared from powder, made with tap water"
11720628,"Gerber Good Start 2 Soy Plus, infant formula, prepared from powder, made with plain bottled water"
11720629,"Gerber Good Start 2 Soy Plus, infant formula, prepared from powder, made with baby water"
11720800,"America's Store Brand Soy, infant formula, NS as to form"
11720801,"America's Store Brand Soy, infant formula, ready-to-feed"
11720802,"America's Store Brand Soy, infant formula, prepared from liquid concentrate, made with water, NFS"
11720803,"America's Store Brand Soy, infant formula, prepared from powder, made with water, NFS"
11720804,"America's Store Brand Soy, infant formula, prepared from liquid concentrate, made with tap water"
11720805,"America's Store Brand Soy, infant formula, prepared from liquid concentrate, made with plain bottled water"
11720806,"America's Store Brand Soy, infant formula, prepared from liquid concentrate, made with baby water"
11720807,"America's Store Brand Soy, infant formula, prepared from powder, made with tap water"
11720808,"America's Store Brand Soy, infant formula, prepared from powder, made with plain bottled water"
11720809,"America's Store Brand Soy, infant formula, prepared from powder, made with baby water"
11740310,"Enfamil Nutramigen LIPIL, infant formula, NS as to form"
11740311,"Enfamil Nutramigen LIPIL, infant formula, ready-to-feed"
11740312,"Enfamil Nutramigen LIPIL, infant formula, prepared from liquid concentrate, made with water, NFS"
11740313,"Enfamil Nutramigen LIPIL, infant formula, prepared from powder, made with water, NFS"
11740314,"Enfamil Nutramigen LIPIL, infant formula, prepared from liquid concentrate, made with tap water"
11740315,"Enfamil Nutramigen LIPIL, infant formula, prepared from liquid concentrate, made with plain bottled water"
11740316,"Enfamil Nutramigen LIPIL, infant formula, prepared from liquid concentrate, made with baby water"
11740317,"Enfamil Nutramigen LIPIL, infant formula, prepared from powder, made with tap water"
11740318,"Enfamil Nutramigen LIPIL, infant formula, prepared from powder, made with plain bottled water"
11740319,"Enfamil Nutramigen LIPIL, infant formula, prepared from powder, made with baby water"
11740320,"Enfamil Nutramigen AA LIPIL, infant formula, NS as to form"
11740323,"Enfamil Nutramigen AA LIPIL, infant formula, prepared from powder, made with water, NFS"
11740327,"Enfamil Nutramigen AA LIPIL, infant formula, prepared from powder, made with tap water"
